"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"de.schwetschke.benchmark.MultiMap.frequencyComputeHashMap","thrpt",1,3,"604885,821364","334581,763954","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyComputeTreeMap","thrpt",1,3,"406381,972674","60436,267233","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeHashMap","thrpt",1,3,"875017,760180","46789,170362","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyMergeTreeMap","thrpt",1,3,"654843,391126","101923,271203","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamHashMap","thrpt",1,3,"681749,591968","89823,766309","ops/s"
"de.schwetschke.benchmark.MultiMap.frequencyStreamTreeMap","thrpt",1,3,"655490,932587","381130,534589","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapArrayList","thrpt",1,3,"654062,685909","21494,117373","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapHashSet","thrpt",1,3,"441473,870627","137152,338807","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeHashMapLinkedList","thrpt",1,3,"732752,252452","362013,971131","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsComputeTreeMapTreeSet","thrpt",1,3,"469269,036812","192809,734623","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapArrayList","thrpt",1,3,"287596,806526","200199,780539","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapHashSet","thrpt",1,3,"134052,025390","25684,270289","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeHashMapLinkedList","thrpt",1,3,"334496,594089","46368,339750","ops/s"
"de.schwetschke.benchmark.MultiMap.positionsMergeTreeMapTreeSet","thrpt",1,3,"150393,905446","16369,875781","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapArrayList","thrpt",1,3,"467873,000853","262856,272972","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamHashMapHashSet","thrpt",1,3,"356813,934799","232472,247434","ops/s"
"de.schwetschke.benchmark.MultiMap.postionsStreamTreeMapTreeSet","thrpt",1,3,"345782,673846","334993,199727","ops/s"
"de.schwetschke.benchmark.MultiMap.wellHelloThere","thrpt",1,3,"2141396978,096436","248063500,447541","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immuatebleFrequency","thrpt",1,3,"203768,007850","182962,564715","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.immutablePositions","thrpt",1,3,"206296,663950","132929,138023","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutableFrequency","thrpt",1,3,"231067,561668","7753,686275","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsPatternMatching","thrpt",1,3,"263733,746733","237680,233017","ops/s"
"de.schwetschke.benchmark.ScalaMultiMap.mutablePositionsTupleAccess","thrpt",1,3,"297140,812532","34661,132982","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListAnonymousClass","thrpt",1,3,"189109,653305","121506,338121","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapArrayListSingleton","thrpt",1,3,"293930,435631","189961,630845","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetAnonymousClass","thrpt",1,3,"84396,350942","22540,881176","ops/s"
"de.schwetschke.benchmark.SingletonList.positionsMergeHashMapHashSetSingleton","thrpt",1,3,"140618,722454","29423,456102","ops/s"
